split,well_id
train,WELL-00001
train,WELL-00003
train,WELL-00007
train,WELL-00008
train,WELL-00009
train,WELL-00011
train,WELL-00012
train,WELL-00020
train,WELL-00021
train,WELL-00024
train,WELL-00025
train,WELL-00026
train,WELL-00027
train,WELL-00028
train,WELL-00030
train,WELL-00032
train,WELL-00033
train,WELL-00035
train,WELL-00037
train,WELL-00038
train,WELL-00039
train,WELL-00040
train,WELL-00041
train,WELL-00042
validation,WELL-00002
validation,WELL-00004
validation,WELL-00010
validation,WELL-00015
validation,WELL-00019
validation,WELL-00023
validation,WELL-00029
validation,WELL-00034
test,WELL-00005
test,WELL-00006
test,WELL-00013
test,WELL-00014
test,WELL-00016
test,WELL-00022
test,WELL-00031
test,WELL-00036
