dataset,fraction,outer,stage,method,seed,rho,status,macro_f1,auprc,far,early_recall,detection_delay,checkpoint_exists,prediction_exists,manifest_exists,hash_valid,test_evaluated,reuse,runtime,checkpoint_sha256,prediction_sha256,result_sha256,artifact_path,validation_only
3W,1.0,31001,formal_locked_test,NO_AUG,42,N/A,COMPLETE_VALID,0.3739950006628351,0.8237572375653551,0.42174518947312,0.9436435124508519,558.1428571428571,True,True,True,True,True,False,61.11646689999907,11db44c0a9365e40cc6df0da41429c4ffda763133d4cd2e190b2e6d9098dd7c9,ab8b3dfc8cf4a7ae0a617bf3566b501fa22dbfd2756559963608cec27e92fbd1,c18a42110f12c8d09cfa54cab5d73bd35a8561a13d7cc3a9db18e02d4617f24d,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_42\NO_AUG\result.json,False
3W,1.0,31001,formal_locked_test,NO_AUG,43,N/A,COMPLETE_VALID,0.5618750341012722,0.8412482559006503,0.05204480891890443,0.902744584072161,545.952380952381,True,True,True,True,True,False,59.32280140000148,fe7c49d1de684bde675f2453705ba5a38f4b5d0d20ae989bf7d7e922a0813e6c,fc877728623c1deab875b7d2d08bd6b7ce9ae1f63ca7a29f7436fb62faeed66f,aa0ea75a70c7406560287781dbae2f9367b66efec53f662eeae6e986ea563de2,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_43\NO_AUG\result.json,False
3W,1.0,31001,formal_locked_test,NO_AUG,44,N/A,COMPLETE_VALID,0.31681670953793806,0.7934443840218156,0.4032177377570528,0.9137691773957289,614.5238095238095,True,True,True,True,True,False,63.438830099999905,b7eec21298256e3039a4442180d3f2b0ea625ea9531dff6d0f9ceadcc1bc5221,47cf88b4917c16e19700eea447f4cae67f638c811318b8b7fbf48c530f9625cf,6d0b0c1f2a5a437ce05ce984849d159f6130b2ac9db45322cfb59db5feb8496e,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_44\NO_AUG\result.json,False
3W,1.0,31001,formal_locked_test,NO_AUG,45,N/A,COMPLETE_VALID,0.3836107179771144,0.764358903790928,0.3831984420503475,0.8497802790841107,619.0952380952381,True,True,True,True,True,False,63.91970729999957,acb82672dad7c4a87f4b1c979b9223a0a3266c55f5aaac7b857adbf3bb7571f3,a249a7c0d499a6b4f02c1c4f8bfd61f1e28f0ef478102fda0e62777f3c6c7031,a0747154fc29dbc5a3f8997bf7357a7bbb7ced118cb2bc37047cff2ad8fffcda,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_45\NO_AUG\result.json,False
3W,1.0,31001,formal_locked_test,NO_AUG,46,N/A,COMPLETE_VALID,0.27675332443400635,0.793460301203463,0.500098265173036,0.9485390486469817,47.666666666666664,True,True,True,True,True,False,58.438833299998805,efa0186093ae0fa95dbd84eca4a86dc44ab84de71c1704866ef2d73856243f64,213ccffe827338fe79e792177aaf3072fbeaa78f75e7aaae9c03de2f165ff091,b6f86bc39f168bbc28692e2676c13855d00398a707130d440fb40a765dd67df6,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_46\NO_AUG\result.json,False
3W,1.0,31001,formal_locked_test,UNIFORM_DIFFUSION,42,N/A,COMPLETE_VALID,0.44615859646353806,0.7862182399752268,0.4218255882510586,0.9162747667874489,602.3333333333334,True,True,True,True,True,False,58.352960500000336,292724d0dc14b434d6c28fa243cd967693d5add5555c53fbb6eda52c7df6aec9,4dce7bf83f3e194bdef406de25e712cdb1dd59d9884887f080cfce1f4802b46d,652533e7ba51e788ca396efdfb5b8e9f0419912d40e71a5524d7831e266b21b3,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_42\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31001,formal_locked_test,UNIFORM_DIFFUSION,43,N/A,COMPLETE_VALID,0.42257203089721673,0.8476880287296298,0.35144092476461025,0.9050188882892607,395.0952380952381,True,True,True,True,True,False,59.9809464000009,eea9d932ab0806031a585a953239bfbc4df3a4754f8bfe3459ee3a00c38a85b0,5eeb27fb343aec91ea59aad9df06dc3d76e5ce56445ce045fcfa9a5b0c994219,e72782540051bab377f97adf0d19b3cddc78e0ed18fc982152ead939cee17aaf,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_43\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31001,formal_locked_test,UNIFORM_DIFFUSION,44,N/A,COMPLETE_VALID,0.3249807953707093,0.7960781321182689,0.3970270318557825,0.9145015804486932,628.2380952380952,True,True,True,True,True,False,63.50845499999923,c72240df2483ff69f5c6f22605d9e9cae6c5c4e41ddba079b9784d519d4ee5fb,7b8415b1c093720b360dc12ddeb3909e3223fd28ca31866d1adcbd84069b3768,09c0658cc845fc20b2cbe20749a8bd8b108f0f4143d9afbd0b785b37632af01f,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_44\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31001,formal_locked_test,UNIFORM_DIFFUSION,45,N/A,COMPLETE_VALID,0.4011257774063258,0.7642575484377757,0.382519519036644,0.8498188266132141,436.23809523809524,True,True,True,True,True,False,70.50724860000082,9074195a37e7c813f851259939b68bf2bd537238e604aa21c8a411bff71acffb,d3377b6d3a283e4269efa0073a4dea50161157b796c4c19134f5aa0f2626828d,c0fd144b8e1679ac4ef1caa17a913cd5beb9a60e7c6872eded4d72c275690c54,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_45\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31001,formal_locked_test,UNIFORM_DIFFUSION,46,N/A,COMPLETE_VALID,0.5204015247737354,0.80336946925878,0.04162870057708456,0.8306221571197286,700.4,True,True,True,True,True,False,58.104328699999314,7b4d184a208c143c49aa3da2875e9123d6994e81230084b8933ed90f309ed1f8,421104df57cfbd7ab58b8ca305dc2ae776fd841d4899569c215fb5edb7382cc7,0162e4fcfcad96303cb44982abe481e6725e77716d1b69dba3c3087e85d93f68,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_46\UNIFORM_DIFFUSION\result.json,False
